Year,Date,HomeTeam,AwayTeam,HomeTeamCity,AwayTeamCity,HomeTeamOffense,HomeTeamDefense,AwayTeamOffense,AwayTeamDefense,HomeScore,AwayScore,HomeWin,HomeWinProbability,FieldGoalPercentage_Home,FieldGoalPercentage_Away,Attendance
2021,2021-08-17,Team J,Team G,Miami,Dallas,77,85,86,72,87,64,1,0.14999999999999997,0.4805520047418348,0.49787483750179534,8053
2022,2022-03-13,Team H,Team I,Philadelphia,Boston,94,73,86,84,89,80,1,0.9,0.5248582711507837,0.48098792859505957,16416
2021,2021-12-29,Team E,Team D,Boston,New York,82,74,80,77,88,89,0,0.7,0.4793633156702995,0.44881382808643133,10400
2021,2021-10-10,Team G,Team D,Phoenix,Los Angeles,86,79,80,76,88,67,1,0.9,0.4720207166544791,0.4609257828699036,10292
2021,2021-10-09,Team B,Team C,Houston,Philadelphia,80,77,82,74,93,78,1,0.5,0.44465248627058207,0.45007203391052086,7283
2023,2023-11-11,Team C,Team A,Miami,Houston,88,86,89,73,91,75,1,0.5499999999999999,0.4462744496714014,0.4769934367582719,14749
2021,2021-11-16,Team J,Team D,Los Angeles,Houston,81,82,84,80,85,82,1,0.44999999999999996,0.48258119920947384,0.5094843823264499,10207
2023,2023-09-26,Team F,Team I,Philadelphia,Toronto,91,75,78,75,101,73,1,0.9,0.5231556197877186,0.4494496777112789,9216
2023,2023-09-09,Team D,Team G,Boston,Phoenix,80,87,90,87,60,96,0,0.1,0.47929123032245197,0.47210972479177016,11214
2020,2020-02-04,Team H,Team J,Houston,Dallas,77,89,81,83,64,70,0,0.39999999999999997,0.4694875244518546,0.4286139592953455,6080
2023,2023-12-24,Team F,Team B,Philadelphia,Phoenix,90,85,93,79,78,90,0,0.44999999999999996,0.512754666301682,0.5122212884794256,10673
2023,2023-07-17,Team B,Team I,Toronto,Toronto,80,89,83,71,83,60,1,0.44999999999999996,0.45916037821331124,0.4903669395963489,11056
2023,2023-09-14,Team C,Team H,Houston,Dallas,94,78,75,87,82,77,1,0.9,0.47733781923734403,0.49343586127376465,14266
2022,2022-05-02,Team B,Team H,Los Angeles,Phoenix,76,89,91,81,60,89,0,0.1,0.4890028664598179,0.5503889540979083,9595
2023,2023-08-04,Team H,Team J,Toronto,Philadelphia,86,82,78,70,90,68,1,0.9,0.5659502994807768,0.46707787326491096,12562
2021,2021-09-23,Team B,Team J,Chicago,Chicago,79,70,78,79,60,78,0,0.65,0.4532251925193437,0.4686996945031311,9879
2021,2021-11-18,Team I,Team F,Toronto,Dallas,75,82,82,89,60,60,0,0.24999999999999994,0.4919727078458002,0.486724570247373,10370
2023,2023-09-06,Team I,Team E,Boston,Miami,87,70,80,72,109,62,1,0.9,0.4996237801514174,0.43130232212768554,9707
2023,2023-10-09,Team F,Team B,New York,Phoenix,77,75,87,85,70,72,0,0.1,0.5635017079364355,0.4877400188430043,9873
2023,2023-11-29,Team D,Team E,New York,Houston,83,82,85,88,60,60,0,0.5,0.46786099313530716,0.5044976081486164,11899
2023,2023-01-14,Team C,Team F,Toronto,Boston,87,85,81,70,110,83,1,0.9,0.47107139967181505,0.4963029341693834,15428
2022,2022-07-26,Team A,Team E,Houston,Philadelphia,81,75,93,70,108,126,0,0.1,0.49346175017983956,0.5267136865339382,11788
2021,2021-05-18,Team B,Team F,Phoenix,Toronto,76,72,86,70,97,98,0,0.1,0.457461523662036,0.5233363083292136,13136
2023,2023-02-29,Team J,Team A,Philadelphia,Boston,77,71,82,70,81,75,1,0.35,0.5272576495993443,0.5255919891516471,10596
2020,2020-08-01,Team C,Team I,Chicago,Philadelphia,81,84,86,83,70,67,1,0.35,0.49267778091098113,0.5075828803130157,12551
2020,2020-08-12,Team D,Team A,Miami,New York,83,85,79,70,108,70,1,0.8,0.4680259938014869,0.5062929656041267,12213
2022,2022-02-05,Team G,Team E,Houston,Miami,92,86,86,88,86,100,0,0.9,0.4812723450178498,0.4199606448547876,10005
2022,2022-03-10,Team J,Team H,Philadelphia,Los Angeles,81,86,79,73,69,63,1,0.7,0.5083042718341955,0.5207852381675161,15902
2021,2021-11-26,Team C,Team J,Phoenix,Phoenix,77,80,77,79,68,65,1,0.6,0.5364673156420485,0.4954674487103709,9758
2021,2021-01-19,Team B,Team E,Dallas,Boston,93,79,89,82,91,84,1,0.8,0.5258558089689467,0.5192433544172786,11681
2023,2023-03-07,Team I,Team G,Toronto,Philadelphia,81,86,78,77,80,60,1,0.75,0.4964203213208622,0.43326066804202207,13038
2021,2021-01-13,Team E,Team D,Miami,Los Angeles,94,77,78,75,111,70,1,0.9,0.5250093642844549,0.42221971161233157,10210
2021,2021-11-19,Team J,Team E,New York,Toronto,94,88,84,77,100,67,1,0.9,0.5074972043425101,0.42482746260648163,10166
2021,2021-11-03,Team B,Team C,Houston,Houston,83,74,76,76,74,93,0,0.9,0.4919983177093528,0.46610462555791154,11146
2023,2023-07-13,Team F,Team G,Houston,Phoenix,92,70,80,87,83,100,0,0.9,0.4523331775421695,0.5284498987199907,13360
2020,2020-07-06,Team D,Team I,Los Angeles,Boston,94,70,93,72,114,115,0,0.65,0.47779706413068906,0.476102586815886,7902
2023,2023-01-30,Team D,Team A,Dallas,Toronto,91,86,82,80,84,60,1,0.9,0.5061657795009664,0.4683883708056383,13288
2020,2020-06-20,Team D,Team A,Toronto,Toronto,91,84,89,70,116,83,1,0.7,0.47903118281459467,0.43848447305517346,14048
2021,2021-07-10,Team H,Team I,Toronto,Phoenix,75,81,78,89,60,68,0,0.44999999999999996,0.42149963380140854,0.4784948083073318,12937
2023,2023-12-16,Team G,Team C,Los Angeles,Philadelphia,76,72,91,73,65,107,0,0.1,0.5160704323249132,0.4676302231403636,13624
2021,2021-08-11,Team H,Team I,Chicago,Phoenix,81,73,78,75,83,88,0,0.75,0.4540089458717237,0.4636233494684837,10421
2022,2022-12-26,Team F,Team G,Toronto,Boston,79,80,84,71,86,76,1,0.35,0.5260936690116201,0.45412043002435,9714
2021,2021-01-17,Team J,Team A,Houston,Boston,78,84,77,87,60,60,0,0.65,0.440791456878881,0.48012682435301735,15769
2021,2021-04-25,Team F,Team G,Dallas,Toronto,87,82,94,75,91,82,1,0.24999999999999994,0.5329524172141297,0.5032293092765628,7277
2023,2023-02-24,Team F,Team H,Miami,New York,90,88,89,75,89,83,1,0.65,0.4731991436925924,0.5212891095283064,8892
2021,2021-06-04,Team I,Team D,Miami,New York,81,72,87,76,76,84,0,0.29999999999999993,0.4708067958411769,0.48451291116413275,9139
2022,2022-01-05,Team J,Team B,Philadelphia,Dallas,91,70,93,77,107,119,0,0.5,0.5555222396335475,0.5221347156975258,11754
2022,2022-05-30,Team I,Team B,Houston,Boston,79,82,81,74,98,60,1,0.5,0.5023828835747288,0.530044944152817,14990
2023,2023-11-14,Team J,Team D,Chicago,Houston,80,75,87,72,91,95,0,0.24999999999999994,0.3900167736238861,0.5093215159109935,10576
2021,2021-09-09,Team H,Team J,Phoenix,Dallas,91,81,82,85,73,61,1,0.9,0.5010497715182378,0.4813449236984726,13157
2020,2020-09-13,Team I,Team H,Phoenix,Chicago,85,70,86,87,60,92,0,0.5499999999999999,0.4748526767739679,0.4546630188510246,11079
2023,2023-04-21,Team G,Team B,Dallas,Dallas,78,72,80,81,60,93,0,0.5,0.48114287611592776,0.4766475372649393,7630
2023,2023-08-28,Team G,Team H,Toronto,Philadelphia,76,89,80,81,64,63,1,0.39999999999999997,0.45705004470302607,0.4507111626927143,15353
2022,2022-12-27,Team F,Team J,Los Angeles,Dallas,92,70,85,70,121,87,1,0.9,0.5035628589615092,0.45263665075313175,12630
2023,2023-06-09,Team A,Team G,Phoenix,Toronto,84,70,94,81,74,114,0,0.1,0.47732439188187453,0.5511907243828926,11781
2020,2020-01-15,Team B,Team J,Boston,Chicago,86,70,88,71,93,90,1,0.5,0.5437119562330603,0.5257176828694545,8587
2022,2022-11-12,Team C,Team F,Dallas,Boston,83,84,92,71,90,79,1,0.14999999999999997,0.48863489259160614,0.49168410134978635,8702
2020,2020-09-28,Team H,Team I,Miami,Toronto,90,80,76,75,92,60,1,0.9,0.4731707749959568,0.4540734092767302,7355
2021,2021-12-06,Team G,Team A,Miami,New York,84,80,82,80,70,81,0,0.7,0.5029768996460584,0.44843366850670735,10240
2021,2021-11-15,Team D,Team A,Los Angeles,Chicago,79,88,86,76,62,78,0,0.24999999999999994,0.4312866115180215,0.45860172422719797,11890
2023,2023-09-25,Team C,Team G,Houston,Toronto,83,79,76,82,81,60,1,0.9,0.4769630939897296,0.4745214543015739,9508
2021,2021-09-01,Team J,Team C,New York,Boston,89,76,82,80,90,99,0,0.9,0.4704762429018784,0.4932451732178264,11110
2020,2020-06-30,Team D,Team J,New York,Miami,86,70,80,79,70,88,0,0.9,0.47805978364116775,0.4545293120280161,12526
2020,2020-09-01,Team H,Team B,Boston,Houston,75,82,81,88,60,71,0,0.29999999999999993,0.4687936794292164,0.4546221150414491,11357
2023,2023-06-16,Team A,Team G,Houston,Los Angeles,94,75,75,76,98,75,1,0.9,0.46953830728275414,0.49699958853902654,13832
2020,2020-03-26,Team J,Team G,Dallas,Phoenix,79,86,80,72,70,60,1,0.5499999999999999,0.5025062256198364,0.4703872883166106,10090
2022,2022-06-29,Team B,Team A,Phoenix,Philadelphia,79,71,93,85,66,117,0,0.1,0.4597609175631178,0.5338076196088846,10631
2023,2023-10-27,Team H,Team C,Toronto,Toronto,90,82,85,88,79,88,0,0.85,0.48867162473620857,0.48320091569701074,10405
2022,2022-01-19,Team D,Team I,New York,Phoenix,92,86,94,84,77,94,0,0.5,0.4233120417236552,0.5339557586054475,12323
2021,2021-03-17,Team F,Team C,Miami,Phoenix,88,84,94,80,104,80,1,0.29999999999999993,0.5316483737669027,0.504502863732905,13292
2020,2020-03-07,Team H,Team I,Phoenix,Boston,90,74,80,87,79,88,0,0.9,0.49177217780601956,0.5005652452145161,10720
2021,2021-04-06,Team J,Team D,Philadelphia,Dallas,86,84,93,71,84,72,1,0.24999999999999994,0.5173399160116549,0.5322688601158267,14141
2020,2020-10-08,Team E,Team G,Phoenix,Toronto,92,74,82,80,72,81,0,0.9,0.49447953675641043,0.5075786332652086,13219
2022,2022-09-09,Team F,Team E,Los Angeles,Toronto,81,80,92,78,83,98,0,0.1,0.499667373284016,0.4888365365854154,12455
2023,2023-01-19,Team A,Team J,Houston,Chicago,87,80,94,71,88,95,0,0.24999999999999994,0.4795416568060309,0.4660536490895109,13063
2023,2023-09-24,Team C,Team F,Philadelphia,Philadelphia,79,89,83,80,80,62,1,0.39999999999999997,0.49655567813366064,0.4125533348923105,13753
2021,2021-11-03,Team B,Team G,New York,Los Angeles,86,71,81,71,112,86,1,0.85,0.529599301814522,0.465358855027627,12863
2022,2022-09-18,Team I,Team C,Dallas,Philadelphia,91,84,81,85,69,71,0,0.9,0.5311050651669146,0.5137760429244831,11413
2021,2021-04-14,Team A,Team E,Philadelphia,Chicago,93,77,87,88,67,109,0,0.9,0.48841520174695013,0.48544884328441834,10819
2022,2022-04-22,Team B,Team J,Boston,Miami,87,85,89,79,84,63,1,0.5,0.4791054572517446,0.47819616288138916,9415
2023,2023-03-08,Team I,Team G,Toronto,New York,90,75,85,84,84,89,0,0.85,0.5124411595088636,0.4626065752978278,11227
2022,2022-06-30,Team J,Team D,Boston,Phoenix,75,84,92,75,60,88,0,0.1,0.446476847100267,0.5517466761073933,8751
2020,2020-06-30,Team A,Team F,Houston,Houston,75,75,87,73,83,118,0,0.1,0.4976064768604027,0.44181335631932667,8914
2020,2020-07-28,Team I,Team D,Philadelphia,Houston,80,78,84,77,84,74,1,0.39999999999999997,0.4812515058843368,0.47020777135709796,12087
2022,2022-07-26,Team A,Team G,Los Angeles,Chicago,78,78,91,77,68,83,0,0.1,0.5041709014317399,0.5007679206314921,13247
2020,2020-07-11,Team I,Team D,Miami,Dallas,76,89,75,87,60,60,0,0.65,0.5034115418362515,0.4983546155675943,11558
2022,2022-11-12,Team J,Team C,Miami,Chicago,76,87,91,71,84,76,1,0.1,0.5129422312966457,0.46526931239111013,11436
2020,2020-01-29,Team A,Team G,Boston,Boston,86,76,82,75,95,77,1,0.8,0.4492809853384676,0.41340539629190126,15312
2022,2022-11-20,Team D,Team H,Toronto,Los Angeles,86,72,87,77,92,93,0,0.5499999999999999,0.48720528115657874,0.49476642385867226,7137
2021,2021-04-17,Team A,Team J,New York,Phoenix,76,86,92,72,79,69,1,0.1,0.47898315037257216,0.5087486708219098,10386
2022,2022-01-08,Team A,Team D,Toronto,Miami,85,81,79,85,76,68,1,0.9,0.5022832575654123,0.48863444370024905,9536
2022,2022-10-08,Team A,Team C,Phoenix,Dallas,91,76,78,86,73,68,1,0.9,0.5445330072862725,0.4814105921016853,10255
2020,2020-08-07,Team J,Team H,Houston,Miami,93,87,88,85,73,64,1,0.85,0.5240211933883275,0.49506857544197674,14245
2020,2020-10-14,Team C,Team H,Houston,Boston,82,76,88,70,114,108,1,0.29999999999999993,0.48219034923600856,0.516279944931594,13641
2021,2021-05-18,Team I,Team J,Dallas,Los Angeles,88,78,80,80,90,68,1,0.9,0.43243357793997883,0.4431207891231394,15597
2021,2021-12-14,Team F,Team J,New York,Philadelphia,93,88,80,82,83,60,1,0.9,0.45156732267243677,0.4438885448410148,11018
2023,2023-10-16,Team B,Team A,Miami,Philadelphia,89,74,77,77,91,83,1,0.9,0.4582300965159178,0.5169736578092825,15408
2022,2022-02-06,Team I,Team J,Houston,Chicago,93,82,89,72,106,80,1,0.8,0.46804747379318007,0.4408056558934733,15021
2022,2022-05-18,Team D,Team I,Chicago,Chicago,85,83,81,88,71,63,1,0.8,0.46490188102379926,0.47430260394505275,11497
2021,2021-04-24,Team B,Team D,Chicago,Phoenix,83,76,77,81,71,71,0,0.9,0.4352000678029135,0.4931902818504589,10163
2022,2022-07-04,Team C,Team J,Houston,Boston,76,84,76,83,60,64,0,0.6,0.5186919771516131,0.4965671756029188,11867
2023,2023-07-10,Team H,Team F,Toronto,Houston,79,74,86,71,89,101,0,0.24999999999999994,0.4565131456850458,0.4762207440425,9755
2022,2022-11-03,Team G,Team A,Los Angeles,Miami,85,87,83,80,90,60,1,0.7,0.49672163299387767,0.4836360895087966,11999
2022,2022-03-07,Team E,Team I,Los Angeles,Toronto,90,77,88,77,83,94,0,0.7,0.4709760094001235,0.4884644839411429,13487
2022,2022-07-25,Team J,Team G,Chicago,Dallas,83,83,78,81,77,63,1,0.85,0.5075294953569611,0.4658256352805501,13975
2023,2023-08-03,Team E,Team A,Philadelphia,Philadelphia,91,77,88,82,97,93,1,0.75,0.5014425911644184,0.45945669217825397,13104
2023,2023-07-05,Team H,Team C,Phoenix,New York,76,85,90,77,65,96,0,0.1,0.4869007944852407,0.4637414128634034,10120
2020,2020-07-03,Team E,Team A,Los Angeles,Chicago,76,87,76,88,60,60,0,0.6,0.5239663643758731,0.49028113455627464,7704
2023,2023-01-11,Team E,Team D,Boston,Dallas,86,70,77,86,79,73,1,0.9,0.5176071637395696,0.4541277065610776,14660
2020,2020-02-21,Team I,Team G,Toronto,Dallas,82,88,80,84,60,60,0,0.7,0.4824199109146471,0.5124889216430318,12967
2021,2021-10-07,Team A,Team I,Los Angeles,Chicago,77,83,78,82,61,61,0,0.5499999999999999,0.4237315027113729,0.48971562313860095,9216
2021,2021-12-13,Team A,Team C,Chicago,Los Angeles,86,75,90,84,78,102,0,0.39999999999999997,0.4569656733615018,0.47395257954558667,11076
2020,2020-08-27,Team A,Team H,Chicago,Toronto,89,72,83,77,86,91,0,0.9,0.5472797477639474,0.4636265339262535,8269
2023,2023-06-18,Team B,Team A,Boston,Houston,76,74,90,83,60,115,0,0.1,0.469697714306083,0.5367923086771034,10199
2020,2020-05-29,Team F,Team I,Los Angeles,Houston,81,80,77,71,93,84,1,0.8,0.48613757201186,0.4891828909310071,10496
2020,2020-08-07,Team D,Team G,Los Angeles,Houston,85,73,94,73,81,102,0,0.14999999999999997,0.5143339335150814,0.4600257473103835,10928
2021,2021-09-24,Team F,Team C,Houston,Dallas,83,81,92,75,86,87,0,0.14999999999999997,0.5078868471559764,0.49036688471216405,9707
2022,2022-06-10,Team H,Team B,Philadelphia,Boston,79,72,94,75,92,105,0,0.1,0.4967996232001134,0.4710724031852538,8762
2021,2021-04-01,Team A,Team D,New York,Philadelphia,81,75,85,81,67,81,0,0.39999999999999997,0.47808190263856415,0.48601082430537207,10353
2020,2020-12-02,Team A,Team E,Chicago,Dallas,77,87,76,82,67,60,1,0.65,0.47244475055738344,0.4998073380787255,9342
2020,2020-11-07,Team G,Team C,Miami,Boston,82,88,92,84,60,60,0,0.1,0.4605935177529836,0.5285265427559048,9622
2020,2020-09-04,Team I,Team C,Phoenix,Boston,78,72,83,86,60,81,0,0.35,0.46862274488006306,0.5239158786207356,6950
2020,2020-05-12,Team C,Team J,Los Angeles,Philadelphia,78,75,81,70,77,73,1,0.44999999999999996,0.49932754105827476,0.5309965766048192,10586
2023,2023-01-19,Team J,Team B,Boston,Miami,85,82,84,88,72,65,1,0.65,0.44283489834440515,0.546721139880245,12934
2021,2021-06-16,Team G,Team F,Toronto,Los Angeles,85,81,80,77,84,63,1,0.85,0.43090994615422024,0.47921493621075145,12050
2023,2023-04-23,Team B,Team C,Boston,Boston,75,79,76,77,60,60,0,0.5499999999999999,0.4625428444185069,0.4704995884069178,12230
2021,2021-03-20,Team E,Team A,Philadelphia,Phoenix,88,81,80,84,62,72,0,0.9,0.5393874483583825,0.4894335545546164,10022
2021,2021-06-29,Team D,Team E,Boston,Philadelphia,82,83,92,79,78,92,0,0.1,0.49012737780849047,0.501583455881699,5945
2023,2023-05-12,Team D,Team H,New York,Toronto,93,71,81,81,102,79,1,0.9,0.48772301255130845,0.47037887644740806,14933
2020,2020-07-16,Team E,Team H,Dallas,Toronto,89,80,77,76,93,60,1,0.9,0.5377404612668877,0.45705564131348697,7903
2021,2021-12-30,Team H,Team B,Phoenix,Dallas,81,72,75,89,60,95,0,0.9,0.4624082028116545,0.5355267308712799,11512
2021,2021-01-07,Team E,Team C,Chicago,Boston,75,77,84,87,60,88,0,0.14999999999999997,0.4621888915662036,0.5356013407120169,8644
2022,2022-03-28,Team D,Team F,Boston,Phoenix,86,72,84,78,83,93,0,0.7,0.49664838066893924,0.5111571680063762,15426
2021,2021-06-19,Team B,Team J,Phoenix,Philadelphia,82,85,81,89,60,62,0,0.65,0.4170893548678527,0.48449269399782724,11948
2020,2020-02-11,Team A,Team G,Miami,Chicago,94,76,86,75,113,76,1,0.9,0.5397956178070531,0.48583345954585966,8615
2021,2021-10-18,Team B,Team C,Boston,Miami,75,81,84,72,84,73,1,0.14999999999999997,0.439630299829873,0.47619727856509253,14287
2022,2022-10-19,Team D,Team J,Boston,Chicago,94,72,83,76,102,91,1,0.9,0.49026442348123656,0.4879733639097949,8716
2022,2022-02-03,Team J,Team B,Miami,Dallas,94,85,87,86,79,75,1,0.9,0.5211180583798126,0.483968110932242,9316
2021,2021-08-29,Team C,Team G,Phoenix,New York,80,74,80,86,60,81,0,0.6,0.4733017234327849,0.4748630319302801,13579
2020,2020-11-28,Team F,Team I,Chicago,Toronto,94,88,77,72,104,60,1,0.9,0.48699258555171127,0.4847411231365498,5569
2022,2022-10-14,Team J,Team A,Chicago,Toronto,85,71,91,72,95,112,0,0.29999999999999993,0.5025666266096778,0.495341593570149,10757
2023,2023-10-13,Team H,Team B,Philadelphia,Toronto,88,80,91,75,84,80,1,0.44999999999999996,0.5037054435466891,0.4986043905784539,11548
2023,2023-06-20,Team F,Team E,Phoenix,Phoenix,88,88,92,74,92,79,1,0.39999999999999997,0.5589484320479491,0.4777655194481632,9685
2022,2022-10-25,Team B,Team H,Boston,Dallas,88,85,90,81,83,92,0,0.5,0.5230722124368524,0.46551215477760904,11021
2020,2020-12-17,Team D,Team C,New York,Houston,79,86,78,78,83,60,1,0.65,0.4466188749501572,0.4663468835380812,10268
2021,2021-06-06,Team A,Team D,New York,Philadelphia,90,85,80,89,60,60,0,0.9,0.5062272770041327,0.4657644175650524,8154
2020,2020-03-26,Team J,Team I,Chicago,Philadelphia,79,87,79,83,60,60,0,0.6,0.4698472732319372,0.45126667389103275,12254
2021,2021-01-01,Team A,Team I,Chicago,Boston,91,80,81,88,83,85,0,0.9,0.534912316338177,0.45283916852311445,12400
2023,2023-04-18,Team A,Team J,Toronto,Houston,93,82,81,80,96,65,1,0.9,0.5307257438942954,0.4947091945772704,13446
2023,2023-03-27,Team H,Team E,Miami,Miami,85,74,87,82,60,96,0,0.5,0.49395744253959006,0.4658127563428007,11293
2023,2023-04-04,Team C,Team A,Philadelphia,Phoenix,90,86,75,82,84,60,1,0.9,0.43532401085501005,0.462218890191786,11430
2022,2022-12-03,Team E,Team C,Los Angeles,Philadelphia,91,77,90,80,83,109,0,0.65,0.4623148136459795,0.4684036628264001,12507
2023,2023-11-22,Team I,Team J,Los Angeles,Boston,93,88,89,70,118,71,1,0.8,0.49913793553169955,0.5422558168836635,13942
2022,2022-09-21,Team H,Team G,Toronto,Chicago,82,75,84,84,83,91,0,0.5,0.5124326728142261,0.4773654685019637,8476
2021,2021-01-20,Team A,Team I,New York,Toronto,93,73,79,75,116,78,1,0.9,0.43794291810831987,0.4715109233334562,10690
2021,2021-05-20,Team E,Team I,New York,Phoenix,76,80,87,86,60,80,0,0.1,0.4272569189765468,0.5063586798063063,12755
2023,2023-09-22,Team G,Team I,Phoenix,Dallas,82,89,91,88,65,80,0,0.14999999999999997,0.4980968731015647,0.498554401884076,12996
2021,2021-10-14,Team B,Team H,Chicago,Phoenix,83,81,80,89,60,67,0,0.75,0.4921172996607479,0.47351611416957634,10027
2023,2023-05-25,Team H,Team C,Chicago,Dallas,75,80,89,89,60,76,0,0.1,0.4603276201369526,0.5180660547069614,12183
2021,2021-10-12,Team I,Team A,Chicago,Chicago,78,73,93,74,95,111,0,0.1,0.5065852626302064,0.47474798853780537,8737
2021,2021-05-21,Team E,Team A,New York,Toronto,91,89,84,77,95,60,1,0.9,0.4635582866920492,0.5075164859399003,12450
2020,2020-04-19,Team B,Team D,Miami,Boston,87,73,75,80,78,70,1,0.9,0.5050214745136494,0.4673401597212858,8839
2022,2022-04-01,Team F,Team C,Toronto,New York,81,71,87,79,68,117,0,0.29999999999999993,0.42909441074064203,0.42951374420885,10126
2021,2021-11-03,Team C,Team G,Chicago,New York,77,79,82,78,60,74,0,0.35,0.460554347735119,0.5186574151966522,12198
2021,2021-02-29,Team H,Team G,Boston,Boston,90,77,86,73,111,98,1,0.8,0.4647400451580826,0.5173974045606244,13238
2023,2023-06-19,Team C,Team B,Toronto,Philadelphia,77,89,92,84,60,69,0,0.1,0.45180332756446656,0.4843507734545873,12027
2021,2021-05-08,Team A,Team F,Toronto,New York,91,79,94,75,91,82,1,0.44999999999999996,0.4967693448295359,0.5271131410839334,12201
2023,2023-01-01,Team I,Team D,Toronto,Philadelphia,88,70,89,84,60,109,0,0.5499999999999999,0.49891492068688864,0.4528732426955165,15004
2021,2021-08-12,Team F,Team J,Phoenix,Houston,86,71,90,79,93,107,0,0.39999999999999997,0.5413338227860061,0.4765608327288002,9823
2021,2021-01-09,Team C,Team E,Los Angeles,Los Angeles,89,70,84,80,67,96,0,0.85,0.4503113402031408,0.5100638563322448,10183
2021,2021-01-09,Team D,Team E,New York,Houston,85,82,87,89,60,73,0,0.5,0.49826141878919084,0.4392348845287127,11466
2023,2023-02-09,Team G,Team C,New York,Philadelphia,94,83,90,78,110,106,1,0.8,0.47196949529276083,0.5048106502931504,11511
2022,2022-05-25,Team I,Team F,Miami,Miami,82,84,85,83,60,86,0,0.44999999999999996,0.4104695003250698,0.5082346706361436,10351
2020,2020-08-29,Team C,Team J,Chicago,Los Angeles,85,88,89,72,93,84,1,0.39999999999999997,0.469987799763504,0.4412376887924175,11791
2022,2022-01-07,Team A,Team G,Dallas,Toronto,87,86,88,86,67,62,1,0.5499999999999999,0.4830586378721806,0.4951172256508576,13286
2020,2020-10-18,Team H,Team B,Chicago,New York,83,79,88,84,73,97,0,0.35,0.4915267000088636,0.47938566392140686,8933
2020,2020-02-02,Team E,Team H,Los Angeles,Toronto,79,89,91,73,72,62,1,0.1,0.4922713028408044,0.5141282687381492,13754
2023,2023-03-30,Team F,Team H,Boston,Boston,94,73,84,72,115,86,1,0.9,0.49563132669434945,0.490586492386481,14380
2020,2020-01-28,Team I,Team C,Houston,Chicago,79,70,81,89,60,90,0,0.5,0.44749543985157164,0.4966852989892223,10906
2023,2023-01-21,Team J,Team E,Philadelphia,Miami,92,84,90,83,75,68,1,0.7,0.49673209927052386,0.4947579021273332,11848
2022,2022-06-26,Team C,Team A,Boston,Houston,85,73,89,81,79,99,0,0.39999999999999997,0.4413557755616449,0.4787163922295232,9891
2023,2023-01-22,Team E,Team H,Dallas,Dallas,83,86,75,77,78,60,1,0.9,0.4936426219488734,0.4622948258029946,13164
2021,2021-07-25,Team G,Team C,Houston,Chicago,89,72,77,73,114,77,1,0.9,0.48675276683167806,0.46851200236745955,10681
2022,2022-09-19,Team C,Team D,New York,New York,79,85,91,83,60,78,0,0.1,0.5005464439527828,0.4662092759371056,14247
2023,2023-07-18,Team I,Team J,Los Angeles,Boston,77,74,77,79,64,65,0,0.6,0.49195174631199284,0.43096416375297625,12739
2022,2022-02-11,Team J,Team G,Toronto,Houston,84,76,76,86,86,66,1,0.9,0.5016269268462608,0.4464949267828951,13013
2023,2023-03-11,Team H,Team C,Chicago,Phoenix,91,73,75,89,69,61,1,0.9,0.4968714059430393,0.49257331920347525,9153
2023,2023-03-12,Team D,Team A,Toronto,Dallas,84,80,82,71,114,75,1,0.7,0.4920252658520937,0.4830053998925917,11119
2020,2020-03-22,Team B,Team J,Boston,Boston,77,79,86,82,70,77,0,0.14999999999999997,0.5064385558472352,0.5197791189555658,11026
2023,2023-09-23,Team G,Team I,Toronto,Toronto,89,84,75,87,69,60,1,0.9,0.5016627342007858,0.4466402069435283,11354
2021,2021-06-26,Team D,Team F,New York,Boston,76,89,88,86,60,71,0,0.1,0.5157851193015226,0.515509612274665,9689
2021,2021-07-07,Team E,Team F,Toronto,Toronto,77,72,86,88,60,90,0,0.14999999999999997,0.45934378525116715,0.509435472562296,6495
2022,2022-10-22,Team A,Team I,Miami,Boston,77,71,93,71,61,101,0,0.1,0.44351476956578656,0.4554205649572856,8885
2023,2023-01-27,Team C,Team I,Miami,Miami,89,84,88,70,128,81,1,0.65,0.49643475553167005,0.5187337134848633,14404
2020,2020-03-27,Team B,Team A,Phoenix,Los Angeles,93,81,82,79,95,90,1,0.9,0.571360095897013,0.4798663531451468,9606
2020,2020-05-27,Team I,Team A,Los Angeles,New York,80,74,87,87,60,91,0,0.24999999999999994,0.46485771295830136,0.41946218354220727,7784
2021,2021-12-22,Team D,Team I,Chicago,Chicago,83,76,91,82,69,103,0,0.19999999999999996,0.47671643001931446,0.4604773218443634,10328
2021,2021-03-13,Team E,Team H,Philadelphia,Philadelphia,75,87,75,87,63,60,1,0.6,0.45465649905246824,0.4710047293265137,12805
2023,2023-06-03,Team D,Team A,Miami,Boston,92,72,80,83,80,73,1,0.9,0.506660375122422,0.49038946906372477,9026
2021,2021-02-19,Team G,Team E,Phoenix,Boston,76,80,84,71,77,86,0,0.19999999999999996,0.47791562219391437,0.452106250889873,7619
2020,2020-10-23,Team E,Team C,New York,Boston,78,71,76,83,60,81,0,0.7,0.4406814300656572,0.4804157995198059,9225
2021,2021-10-21,Team A,Team J,Los Angeles,Miami,88,75,81,83,83,97,0,0.9,0.5076773414771386,0.46976115795583867,9397
2022,2022-07-13,Team H,Team I,Los Angeles,Philadelphia,94,87,92,86,104,77,1,0.7,0.47845834575357615,0.4993834869174234,13901
